Symbol	Quantity	Buy Value	Sell Value	Realized P&L
GODFRYPHLP	1	5640.1	4914.85	-725.25
JUNIORBEES	1	411.64	652.29	240.65
INDIAMART	12	29984.7	28195	-1789.7
BSOFT	52	36914.8	36543	-371.8
OIL	3	1854.75	1735.5	-119.25
BSE	2	7379.35	8838.4	1459.05
SUDARSCHEM	28	28355.5	26940.65	-1414.85
SCHNEIDER	38	31278.9	31047.2	-231.7
ACE	9	14435.1	11890.5	-2544.6
GESHIP	20	22278.95	22998.6	719.65
BAJAJHIND	1205	45215.81	40463.9	-4751.91
STAR	24	29937.5498	26219.6	-3717.9498
KARURVYSYA	34	6913.9	7657.14	743.24
PGEL	41	26299.45	25169.05	-1130.4
NTPC	112	36068.45	40756.8	4688.35
WABAG	23	43097.4	26429.3	-16668.1
BANKBARODA	135	28003.05	26291.25	-1711.8
LIQUIDBEES	24.609	23693.01	24608.7539	915.7439
ICIL	106	44308	40119.35	-4188.65
DEEPAKFERT	24	24141.6	30968.55	6826.95
UNIONBANK	484	65067.39	65630.4	563.01
VOLTAS	2	2960	3574.4	614.4
HSCL	63	18336.5	20601	2264.5
EIHOTEL	53	21954.45	20365.25	-1589.2
SUVENPHAR	6	7910.6	6773.4	-1137.2
ICICIBANK	29	32616.3	36714.95	4098.65
CHOLAHLDNG	12	21399.6	16479.35	-4920.25
AUROPHARMA	10	9886.95	11542.5	1655.55
JINDALSAW	114	32936.35	32552.7	-383.65
CREDITACC	11	17551.9	13354	-4197.9
KFINTECH	5	7350.5	5275.5	-2075
NUVAMA	2	13799.1	10220	-3579.1
MOTILALOFS	35	24183.25	22613.35	-1569.9
TATACHEM	2	2050	1620	-430
POLICYBZR	20	21292	34834.75	13542.75
NATIONALUM	81	15239.34	16932.49	1693.15
GENUSPOWER	150	48585	63866.65	15281.65
NIFTYBEES	55	13469.86	15338.68	1868.82
SHAKTIPUMP	12	53114.35	52888.8	-225.55
IOC	238	35959.2	40222	4262.8
BASF	11	88410.5	62509.15	-25901.35
LIQUIDCASE	1367	139160	141582.91	2422.91
TVSMOTOR	10	18636.2	27537	8900.8
ZOMATO	304	50079.15	55733.4	5654.25
GSPL	9	2620.8	2758.5	137.7
MCX	3	19197.9	15197.5	-4000.4
VBL	21	24624.9	30261	5636.1
TATAMOTORS	28	20779.35	27485.15	6705.8
GREAVESCOT	50	7320	14100	6780
MAPMYINDIA	11	21720.95	23034.55	1313.6
COCHINSHIP	59	53452.65	107575.5	54122.85
ONESOURCE	6	1683.8502	9349	7665.1498
GET&D	19	26335.9	31603.85	5267.95
MEDANTA	23	27585.95	30524.35	2938.4
